Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Benemérita Universidad Autónoma de Puebla,www.buap.mx,70,1434,2346,716,1238,2013
Universidad del Bío-Bío,www.ubiobio.cl,71,1444,1052,2695,2540,2013
(1) Universidad Técnica Federico Santa María,www.utfsm.cl,72,1467,2646,1016,1095,2013
Universidad Central de Venezuela,www.ucv.ve,73,1478,2364,950,1398,2013
Universidade Metodista de São Paulo,www.metodista.br,74,1485,915,2470,3037,2013
Universidad de Colima,www.ucol.mx,75,1488,1308,762,2507,2013
Universidad Nacional Mayor de San Marcos,www.unmsm.edu.pe,76,1534,1646,694,2172,2013
Universidad Iberoamericana,www.uia.mx,77,1542,2594,1718,1216,2013
Universidade Federal do Espírito Santo,portal.ufes.br,78,1557,2048,939,1748,2013
Universidad del Valle Cali,www.univalle.edu.co,79,1567,2220,1059,1625,2013
Universidade Federal do Tocantins UFT,www.site.uft.edu.br,80,1579,1112,4825,2752,2013
Universidad Nacional de Tucumán,www.unt.edu.ar,81,1586,2189,1417,1659,2013
Universidad Autónoma de Tamaulipas,portal.uat.edu.mx,82,1588,1294,2528,2584,2013
Universidad Nacional del Litoral,www.unl.edu.ar,83,1634,2702,1552,1408,2013
Universidad de la Frontera,www.ufro.cl,84,1639,2036,2672,1894,2013
Universidad Autónoma de Querétaro,www.uaq.mx,85,1652,1804,2900,2076,2013
Universidad de Nariño,www.udenar.edu.co,86,1656,618,3861,4086,2013
Universidade Estadual de Montes Claros UNIMONTES,portal.unimontes.br,87,1661,1432,1639,2620,2013
(1) Universidade Federal de Pelotas UFPEL,www.ufpel.edu.br,88,1677,3328,655,1131,2013
University of the West Indies Cave Hill Campus Barbados,www.cavehill.uwi.edu,89,1683,1897,2413,2122,2013
Universidad Nacional Costa Rica,www.una.ac.cr,90,1686,1830,3551,2253,2013
Universidad de los Lagos,www.ulagos.cl,91,1711,1094,5067,3186,2013
Universidad Mayor de San Andrés,www.umsa.bo,92,1711,2068,2623,2105,2013
Universidade Federal de Campina Grande,www.ufcg.edu.br,93,1728,2806,1242,1527,2013
Universidade Federal de Juiz de Fora UFJF,www.ufjf.br,94,1730,2520,714,1738,2013
Pontificia Universidade Católica de São Paulo PUC-SP,www.pucsp.br,95,1741,1497,1505,2864,2013
Escuela Superior Politécnica del Litoral,www.espol.edu.ec,96,1747,1256,207,3377,2013
(1) University of the West Indies Mona Jamaica,www.mona.uwi.edu,97,1753,2213,2968,1952,2013
Universidad EAFIT,www.eafit.edu.co,98,1775,1009,1791,3676,2013
Universidad Nacional del Callao,www.unac.edu.pe,99,1775,640,1960,4440,2013
