Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Obafemi Awolowo University,www.oauife.edu.ng,25,2004,2858,8722,2297,2015
Helwan University,www.helwan.edu.eg,26,2028,4869,2878,1793,2015
South Valley University,www.svu.edu.eg,27,2047,3964,2780,1952,2015
Kwame Nkrumah University of Science & Technology,www.knust.edu.gh,28,2081,4880,2265,1967,2015
Minufiya University,www.menofia.edu.eg,29,2109,6343,2733,1551,2015
Université Mohammed V Agdal,www.um5a.ac.ma,30,2120,7809,3311,1219,2015
Suez Canal University,www.scuegypt.edu.eg,31,2121,7577,2411,1237,2015
Minia University,www.minia.edu.eg,32,2140,6112,1622,1783,2015
University of Tanta,www.tanta.edu.eg,33,2152,6348,2280,1524,2015
University of Dar Es Salaam,www.udsm.ac.tz,34,2220,4480,6525,1910,2015
Université Cheikh Anta Diop de Dakar,www.ucad.sn,35,2251,4897,4088,1868,2015
Tshwane University of Technology,www.tut.ac.za,36,2261,5915,3681,1736,2015
Université Constantine 1 (Ex Université Mentouri),www.umc.edu.dz,37,2307,6168,1926,2009,2015
Cape Peninsula University of Technology,www.cput.ac.za,38,2387,5318,2783,2187,2015
Moi University,www.mu.ac.ke,39,2409,3650,6998,2448,2015
Kenyatta University,www.ku.ac.ke,40,2426,5508,1355,2692,2015
University of Zimbabwe,www.uz.ac.zw,41,2435,6192,5472,1894,2015
Université Abou Bekr Belkaid Tlemcen,www.univ-tlemcen.dz,42,2436,6306,1441,2283,2015
Université Kasdi Merbah Ouargla,www.univ-ouargla.dz,43,2443,2205,1222,3839,2015
Fayoum University,www.fayoum.edu.eg,44,2450,7262,1565,1868,2015
Université Cadi Ayyad Marrakech,www.uca.ma,45,2574,10403,3958,1113,2015
University of Botswana,www.ub.bw,46,2605,6288,5130,2070,2015
(1)  Université Mohammed Premier Oujda,webserver1.ump.ma,47,2616,9881,4179,1252,2015
University of Lagos,www.unilag.edu.ng,48,2656,4495,8765,2361,2015
Arab Academy for Science & Technology and Maritime Transport,www.aast.edu,49,2671,5659,6184,2403,2015
University of Ilorin,www.unilorin.edu.ng,50,2697,7012,1772,2417,2015
Al Azhar University,www.azhar.edu.eg,51,2734,6870,8243,1407,2015
Université Hassan II Ain Chock,www.uh2c.ac.ma,52,2752,9291,9497,1473,2015
Egerton University,www.egerton.ac.ke,53,2759,2412,8190,3656,2015
Beni Suef University,www.bsu.edu.eg,54,2772,8297,4719,1744,2015
Université Mohammed V Souissi,www.um5s.ac.ma,55,2778,7862,2309,2316,2015
University of Mauritius,www.uom.ac.mu,56,2794,6675,2444,2417,2015
Université Abdelhamid Ibn Badis Mostaganem,www.univ-mosta.dz,57,2816,5016,2930,2881,2015
Sohag University,www.sohag-univ.edu.eg,58,2898,8657,4856,1917,2015
Jomo Kenyatta University of Agriculture and Technology,www.jkuat.ac.ke,59,2944,6696,3922,2789,2015
