Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
(1) Kangwon National University (Samcheok National University) / 강원대학교,www.kangwon.ac.kr,92,494,329,2450,755,2014
Chiang Mai University,www.cmu.ac.th,93,502,542,999,888,2014
National Taiwan Ocean University,www.ntou.edu.tw,94,504,698,254,896,2014
South China Normal University / 华南师范大学,www.scnu.edu.cn,95,508,233,2816,762,2014
Universiti Teknologi Malaysia,www.utm.my,96,509,1210,79,765,2014
Universiti Putra Malaysia,www.upm.edu.my,97,510,1668,136,591,2014
Xidian University / 西安电子科技大学,www.xidian.edu.cn,98,523,284,3073,538,2014
King Mongkut's University of Technology Thonburi,www.kmutt.ac.th,99,527,624,314,975,2014
University of Indonesia,www.ui.ac.id,100,532,389,209,1874,2014
Peking University / 北京大学,www.pku.edu.cn,1,37,43,365,36,2015
(1)  Seoul National University / 서울대학교,www.snu.ac.kr,2,45,64,63,66,2015
University of Tokyo / 東京大学,www.u-tokyo.ac.jp,3,46,108,12,24,2015
Zhejiang University (National Che Kiang University) / 浙江大学,www.zju.edu.cn,4,48,37,545,50,2015
National Taiwan University,www.ntu.edu.tw,5,49,81,28,94,2015
Tsinghua University China / 清华大学,www.tsinghua.edu.cn,6,57,48,658,28,2015
University of Hong Kong,www.hku.hk,7,68,152,3,115,2015
Shanghai Jiao Tong University / 上海交通大学,www.sjtu.edu.cn,8,70,93,545,82,2015
Kyoto University / 京都大学,www.kyoto-u.ac.jp,9,75,208,20,64,2015
National University of Singapore,www.nus.edu.sg,10,89,186,84,29,2015
Fudan University (Shanghai Medical University) / 复旦大学,www.fudan.edu.cn,11,111,100,892,105,2015
(1)  Korea Advanced Institute of Science & Technology KAIST,www.kaist.ac.kr,12,123,235,326,166,2015
National Cheng Kung University,www.ncku.edu.tw,13,127,160,128,217,2015
Tel Aviv University,www.tau.ac.il,14,131,450,2,143,2015
Beijing Normal University / 北京师范大学,www.bnu.edu.cn,15,133,39,1611,338,2015
Sun Yat Sen University (Zhongshan University) / 中山大学,www.sysu.edu.cn,16,137,119,1162,171,2015
Chinese University of Hong Kong,www.cuhk.edu.hk,17,150,230,172,154,2015
Huazhong University of Science & Technology / 华中科技大学,www.hust.edu.cn,18,158,80,2571,141,2015
University of Science & Technology of China / 中国科学技术大学,www.ustc.edu.cn,19,163,128,911,126,2015
National Chiao Tung University,www.nctu.edu.tw,20,165,174,176,267,2015
Xi'An Jiaotong University / 西安交通大学,www.xjtu.edu.cn,21,166,60,1902,216,2015
Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,www.buaa.edu.cn,22,173,52,2583,292,2015
Xiamen University / 厦门大学,www.xmu.edu.cn,23,175,77,743,335,2015
National Tsing Hua University Taiwan,www.nthu.edu.tw,24,191,239,183,294,2015
Osaka University / 大阪大学,www.osaka-u.ac.jp,25,192,546,138,99,2015
Nanyang Technological University,www.ntu.edu.sg,26,193,592,508,53,2015
Hebrew University of Jerusalem,www.huji.ac.il,27,201,352,452,214,2015
Tohoku University / 東北大学,www.tohoku.ac.jp,28,203,449,133,108,2015
Nanjing University / 南京大学,www.nju.edu.cn,29,206,169,1636,146,2015
Sichuan University / 四川大学,www.scu.edu.cn,30,207,96,3211,227,2015
(1)  Korea University / 고려대학교,www.korea.ac.kr,31,210,319,483,198,2015
Harbin Institute of Technology / 哈尔滨工业大学,www.hit.edu.cn,32,219,172,3112,135,2015
Lanzhou University / 兰州大学,www.lzu.edu.cn,33,227,67,3145,364,2015
Dalian University of Technology / 大连理工大学,www.dlut.edu.cn,34,230,144,3284,207,2015
National Central University,www.ncu.edu.tw,35,240,180,463,416,2015
Nagoya University / 名古屋大学,www.nagoya-u.ac.jp,36,242,464,217,179,2015
Jilin University / 吉林大学,www.jlu.edu.cn,37,248,273,1136,188,2015
(1)  Yonsei University / 연세대학교,www.yonsei.ac.kr,38,253,435,748,159,2015
Hong Kong Polytechnic University,www.polyu.edu.hk,39,266,527,426,153,2015
Hong Kong University of Science & Technology,www.ust.hk,40,270,388,429,242,2015
Technion Israel Institute of Technology,www.technion.ac.il,41,277,739,252,238,2015
Hanyang University / 한양대학교,www.hanyang.ac.kr,42,278,321,410,307,2015
Kyushu University / 九州大学,www.kyushu-u.ac.jp,43,280,513,195,226,2015
King Saud University,ksu.edu.sa,44,281,359,190,329,2015
Central South University (Zhongnan University) / 中南大学,www.csu.edu.cn,45,281,202,3526,273,2015
Keio University / 慶応義塾大学,www.keio.ac.jp,46,287,261,417,369,2015
Hokkaido University / 北海道大学,www.hokudai.ac.jp,47,297,525,157,262,2015
