Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
École Supérieure d'Architecture de Casablanca EAC,http://www.ecolearchicasa.com/,1315,24587,24459,5963,6683
College of Education Ikere Ekiti,http://www.coeikere.edu.ng/,1316,24587,24459,5963,6683
Science Valley Academy,http://sva.edu.eg/,1317,24587,24459,5963,6683
Western University College Ethiopia,https://www.wuc.edu.et/,1318,24587,24459,5963,6683
Federal School of Dental Technology and Therapy Enugu,https://fedcodtten.edu.ng/,1319,24587,24459,5963,6683
Southern Africa Bible College,http://southernafricabiblecollege.org/,1320,24587,24459,5963,6683
Malawi Adventist University,http://mau.ac.mw/,1321,24587,24459,5963,6683
Kiambu Institute of Science and Technology,https://kist.ac.ke/,1322,24587,24459,5963,6683
Eden University,http://www.edenuniversity.net/,1323,24690,24565,5963,6683
University of East and Southern Africa,http://unesa.org/,1324,24690,24565,5963,6683
Universitè Amadou Hampate Ba de Dakar,https://www.uahb.sn/,1325,24690,24565,5963,6683
Kenya Aeronautical College Nairobi,http://www.kac.co.ke/,1326,24690,24565,5963,6683
Kessben University College,https://kc.edu.gh/,1327,24690,24565,5963,6683
École des Hautes Etudes Commerciales et Informatiques HECI,http://www.groupeheci.ac.ma/,1328,24690,24565,5963,6683
Johannesburg Polytechnic,https://www.polytechnic.co.za/,1329,24690,24565,5963,6683
St Augustine College of Education,https://www.sacoed.edu.ng/,1330,24789,24666,5963,6683
Université Saint Thomas d'Aquin,http://usta.bf/,1331,24789,24666,5963,6683
(3) Université de la Manouba Institut Supérieur d'Histoire du Mouvement National,http://www.ishmn.rnu.tn/,1332,24789,24666,5963,6683
(3) Université de Tunis Institut Supérieur de Musique de Tunis,http://www.ismt.rnu.tn/,1333,24789,24666,5963,6683
EBS Espima Business School,https://www.ebs.tn/,1334,24789,24666,5963,6683
Ecole Normale Supérieure de Setif,http://www.ens-setif.dz/,1335,24789,24666,5963,6683
Université Africaine de Technologie et de Management Gasa,http://www.uatm-gasa.com/,1336,24789,24666,5963,6683
University College of Agriculture and Environmental Studies,https://www.ucaes.edu.gh/,1337,24789,24666,5963,6683
Jayee University College,https://juc.edu.gh/,1338,24789,24666,5963,6683
Uniciti Education Hub,https://www.unicitieducationhub.com/,1339,24886,24764,5963,6683
University of Kisubi,https://unik.ac.ug/,1340,24886,24764,5963,6683
Université Peleforo Gon Coulibaly,http://univ-pgc.edu.ci/,1341,24886,24764,5963,6683
ISCAM École de Commerce à Madagascar,http://www.iscam.mg/,1342,24886,24764,5963,6683
Institut Supérieur des Etudes Technologiques ISET Sfax,http://www.isetsf.rnu.tn/,1343,24886,24764,5963,6683
Ibn Sina University,http://isu.edu.sd/,1344,24886,24764,5963,6683
Kaiboi Technical Training Institute,http://www.kaiboitech.ac.ke/,1345,24886,24764,5963,6683
(3) Université de Sfax Institut des Hautes Études Commerciales de Sfax,http://www.ihecsf.rnu.tn/,1346,24984,24864,5963,6683
(3) Université de Sousse Institut des Hautes Etudes Commerciales de Sousse,http://www.ihecso.rnu.tn/,1347,24984,24864,5963,6683
Institut National de Santé Publique,https://insp.bi/,1348,24984,24864,5963,6683
Institute of Petroleum Studies Kampala,https://ipsk.ac.ug/,1349,24984,24864,5963,6683
Université Dakar Bourguiba,http://udb-sn.com/,1350,24984,24864,5963,6683
University of Tripoli Alahlia for Humanities and Applied Sciences,https://utripoli.edu.ly/,1351,24984,24864,5963,6683
Wa Polytechnic,https://wapoly.edu.gh/,1352,24984,24864,5963,6683
Wavecrest College of Hospitality,http://wavecrest.edu.ng/,1353,24984,24864,5963,6683
Ramogi Institute of Advanced Technology Kisumu,http://www.ramogiinstitute.ac.ke/,1354,24984,24864,5963,6683
Al Areesh University,http://aru.edu.eg/,1355,24984,24864,5963,6683
École Nationale d’Ingénieurs Abderhame Baba Touré,https://www.eni-abt.ml/,1356,24984,24864,5963,6683
East Africa Star University,http://easu-burundi.com/,1357,25092,24972,5963,6683
(3) Université Ibnou Zohr École Supérieure de Technologie Guelmim,http://www.estg.ac.ma/,1358,25092,24972,5963,6683
Catholic Institute of Business and Technology,https://cibt.edu.gh/,1359,25092,24972,5963,6683
Université Privee de l'Enseignement Superieur Megrine,http://www.upes-megrine.com/,1360,25092,24972,5963,6683
Institut Superieur de Management et de Technologie,https://www.matci.ac.ma/,1361,25092,24972,5963,6683
Metropolitan International University,https://miu.ac.ug/,1362,25092,24972,5963,6683
College of Industrial Technology Masrath,http://www.nsakcet.ac.in/,1363,25092,24972,5963,6683
(1) Plasma University Mogadishu,https://plasmauniversity.net/,1364,25194,25078,5963,6683
Meru National Polytechnic,http://www.merunationalpolytechnic.ac.ke/,1365,25194,25078,5963,6683
Mettu University,https://meu.edu.et/,1366,25194,25078,5963,6683
Mwalimu Julius K. Nyerere University of Agriculture and Technology MJNUAT,https://www.mjnuat.ac.tz/,1367,25194,25078,5963,6683
Instituto Superior Metropolitano de Angola IMETRO,http://www.imetroangola.com/,1368,25194,25078,5963,6683
Institut Supérieur des Etudes Technologiques ISET Kairouan,http://www.isetkr.rnu.tn/,1369,25194,25078,5963,6683
(3) Université de Sousse Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse,http://www.isitcom.rnu.tn/,1370,25194,25078,5963,6683
