Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Universitas Sari Mutiara,https://sari-mutiara.ac.id/,7611,17278,16557,5963,6683
Sree Saraswathi Thyagaraja College,http://stc.ac.in/,7612,17278,18683,5574,6683
Sekolah Tinggi Ilmu Ekonomi STIE AUB Surakarta,http://stie-aub.ac.id/,7613,17278,21722,4580,6683
Jiujiang Jiujiang TV Radio and Television University,http://www.jjtvu.cn/,7614,17278,16557,5963,6683
Mar Athanasius College of Engineering,http://www.mace.ac.in/,7615,17278,16557,5963,6683
Shaanxi Institute of Mechatronic Technology,http://sxeic.com.cn/,7616,17278,16557,5963,6683
Universitas Tanri Abeng,https://tau.ac.id/,7617,17278,19843,5262,6683
Prime University,http://www.primeuniversity.edu.bd/,7618,17278,16557,5963,6683
Royal Institute of Management,http://www.rim.edu.bt/,7619,17278,16557,5963,6683
Nagasaki Junior College,http://www.njc.ac.jp/,7620,17278,16557,5963,6683
Goa College of Engineering,http://www.gec.ac.in/,7621,17278,16557,5963,6683
Harbin Huade College,https://www.hhdu.edu.cn/,7622,17278,16557,5963,6683
St Thomas' College Trichur,https://stthomas.ac.in/,7623,17300,16582,5963,6683
Surana College Bengaluru,https://www.suranacollege.edu.in/,7624,17300,16582,5963,6683
Tata Management Training Centre,https://www.tmtctata.com/,7625,17300,16582,5963,6683
Toyama College (Toyama Women's College),https://www.toyama-c.ac.jp/,7626,17300,16582,5963,6683
Gifu University of Medical Science,https://www.u-gifu-ms.ac.jp/,7627,17300,16582,5963,6683
Saku University,https://www.saku.ac.jp/,7628,17300,16582,5963,6683
Shridhar University,https://shridharuniversity.ac.in/,7629,17300,16582,5963,6683
Shangrao Preschool Teachers College,http://www.srygz.com/,7630,17300,16582,5963,6683
Hangzhou Radio & TV University,http://www.hzrtvu.edu.cn/,7631,17300,16582,5963,6683
Faculty of Science and Applied Telecommunications,http://www.ictfaculty.ir/,7632,17300,16582,5963,6683
Iida Women's Junior College,https://www.iidawjc.ac.jp/,7633,17300,16582,5963,6683
Korea University Tokyo,http://www.korea-u.ac.jp/,7634,17300,16582,5963,6683
Maharaja Agrasen College,http://www.mac.du.ac.in/,7635,17300,16582,5963,6683
Central Academy of Cultural Administration,https://www.cacta.cn/,7636,17300,16582,5963,6683
Aurora College of Engineering,https://www.aurora.in/,7637,17300,16582,5963,6683
RabinadraNath Tagore University,https://rntu.ac.in/,7638,17300,16582,5963,6683
Misamis University,https://www.mu.edu.ph/,7639,17300,16582,5963,6683
Canara Engineering College,http://www.canaraengineering.in/,7640,17326,19843,5273,6683
Islamic Azad University Bonab,http://bonabiau.ac.ir/,7641,17327,16613,5963,6683
Brainware University,https://www.brainwareuniversity.ac.in/,7642,17327,16613,5963,6683
Chiang Kai Shek College,https://www.cksc.edu.ph/,7643,17327,16613,5963,6683
Changzhou Health Vocational & Technical School (Changzhou Medical School),https://www.tsyl.cn/,7644,17327,16613,5963,6683
Luoding Polytechnic,http://www.ldpoly.edu.cn/,7645,17327,16613,5963,6683
Institute for Integrated Learning in Management,https://www.iilmgsm.ac.in/,7646,17327,16613,5963,6683
Politeknik Kuching Sarawak,http://www.poliku.edu.my/,7647,17327,16613,5963,6683
Hindustan College of Science and Technology,https://hcst.edu.in/,7648,17327,16613,5963,6683
Sekolah Tinggi Ilmu Kesehatan STIKES Fort De Cock Bukittinggi,https://www.fdk.ac.id/,7649,17347,20533,5046,6683
Changchun Information Technology College,https://www.citpc.edu.cn/,7650,17348,16639,5963,6683
University of Fallujah,https://uofallujah.edu.iq/,7651,17348,22603,4184,6683
Utkal University of Culture,http://uuc.ac.in/,7652,17348,16639,5963,6683
(3) University of International Business and Economics School of Continuing Education/ 对外经济贸易大学国际学院,http://www.sce.com.cn/,7653,17348,16639,5963,6683
Southern College of Technology,https://www.sct.ac.th/,7654,17348,16639,5963,6683
Odawara Women's Junior College,https://www.odawara.ac.jp/,7655,17348,16639,5963,6683
(3) Tribhuvan University Institute of Agriculture and Animal Science,https://iaas.edu.np/,7656,17348,18025,5751,6683
International College of Music,https://www.icom.edu.my/,7657,17348,16639,5963,6683
Youngnam Theological University & Seminary,http://www.ytus.ac.kr/,7658,17348,16639,5963,6683
Nagasaki Women's Junior College,https://www.nagasaki-joshi.ac.jp/,7659,17348,16639,5963,6683
Newports Institute of Communications and Economics Karachi,https://www.newports.edu.pk/,7660,17348,16639,5963,6683
Al Hamd Islamic University,http://www.aiu.edu.pk/,7661,17348,16639,5963,6683
Arts Sciences & Technology University Lebanon,https://aul.edu.lb/,7662,17348,16639,5963,6683
Bahra University,http://www.bahrauniversity.edu.in/,7663,17348,16639,5963,6683
Bengal College of Engineering and Technology Durgapur BCET,http://bcetdgp.ac.in/,7664,17348,16639,5963,6683
University of Alkafeel,https://alkafeel.edu.iq/,7665,17378,21383,4764,6683
Suresh Gyan Vihar University,https://www.sgvu.edu.in/,7666,17380,16672,5963,6683
Sekolah Tinggi Bahasa Asing STBA LIA,https://stbalia.ac.id/,7667,17380,16672,5963,6683
University of Fukuchiyama,https://www.fukuchiyama.ac.jp/,7668,17380,16672,5963,6683
Federal Urdu University of Arts Sciences and Technology FUUAST Islamabad,http://www.fuuastisb.edu.pk/,7669,17380,16672,5963,6683
Universitas Islam Makassar,https://uim-makassar.ac.id/,7670,17380,22360,4332,6683
K S R Institute for Engineering and Technology,http://www.ksriet.ac.in/,7671,17380,17382,5878,6683
Kyushu Otani Junior College,http://www.kyushuotani.ac.jp/,7672,17380,16672,5963,6683
