Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Università Politécnica delle Marche,https://www.univpm.it/,302,698,2049,385,598
Université de Bourgogne,https://www.u-bourgogne.fr/,303,700,1414,446,755
Istanbul University,https://www.istanbul.edu.tr/,304,705,1482,460,730
Ankara University,https://www.ankara.edu.tr/,305,708,1355,545,764
Université de Versailles,https://www.uvsq.fr/,306,709,1999,1207,488
University of Huddersfield,https://www.hud.ac.uk/,307,710,916,476,984
Belarusian State University,https://bsu.by/,308,710,1137,656,822
University of Salford,https://www.salford.ac.uk/,309,712,730,619,1067
Vilnius University,https://www.vu.lt/,310,714,1160,988,753
De Montfort University,https://www.dmu.ac.uk/,311,714,571,774,1153
Bilkent University,https://w3.bilkent.edu.tr/,312,717,757,560,1081
Université Sorbonne Paris Nord,https://www.univ-paris13.fr/,313,717,1382,889,669
University of Bath,https://www.bath.ac.uk/,314,722,282,5963,412
Universität Kassel,https://www.uni-kassel.de/,315,724,722,814,1045
Poznan University of Technology,https://www.put.poznan.pl/,316,724,738,817,1028
Bournemouth University,https://www.bournemouth.ac.uk/,317,727,883,725,968
Universität Hohenheim,https://www.uni-hohenheim.de/,318,728,1133,712,841
Tomsk Polytechnic University,https://tpu.ru/,319,728,1083,779,846
International School for Advanced Studies,https://www.sissa.it/,320,730,1187,594,848
Università del Salento (Università degli Studi di Lecce),https://www.unisalento.it/,321,730,2012,544,614
Bergische Universität Wuppertal,https://www.uni-wuppertal.de/,322,732,981,1110,834
Université Clermont Auvergne,https://www.uca.fr/,323,733,2551,849,464
Université Fédérale de Toulouse Midi Pyrénées (Université Fédérale Toulouse Midi-Pyrénées),https://www.univ-toulouse.fr/,324,735,1934,2118,425
Lulea University of Technology,https://www.ltu.se/,325,738,1319,615,803
Technische Universität Chemnitz,https://www.tu-chemnitz.de/,326,739,560,887,1192
Universidad Rey Juan Carlos,https://www.urjc.es/,327,742,1233,532,862
Brno University of Technology,https://www.vutbr.cz/,328,742,912,921,920
Scuola Normale Superiore di Pisa,https://www.sns.it/,329,749,1471,775,722
Institut National des Sciences Appliquées de Lyon,https://www.insa-lyon.fr/,330,754,1766,504,714
Oxford Brookes University,https://www.brookes.ac.uk/,331,755,683,629,1187
University of Wroclaw,https://uni.wroc.pl/,332,757,753,925,1052
Kazan (Volga Region) Federal University,https://kpfu.ru/,333,759,1876,659,657
Goldsmiths University of London,https://www.gold.ac.uk/,334,762,474,745,1430
Université de Besançon,https://www.univ-fcomte.fr/,335,767,1306,639,860
Collège de France (Université PSL),https://www.college-de-france.fr/,336,768,1488,1674,613
Università Ca' Foscari di Venezia,https://www.unive.it/,337,769,803,592,1151
Middlesex University,https://www.mdx.ac.uk/,338,770,868,742,1067
Università degli Studi dell'Aquila,https://www.univaq.it/,339,775,2408,421,640
Universidad de Extremadura,https://www.unex.es/,340,778,1301,433,949
Sheffield Hallam University,https://www.shu.ac.uk/,341,780,674,860,1192
Université de Caen,http://www.unicaen.fr/,342,782,1086,1159,876
Copenhagen Business School,https://www.cbs.dk/,343,786,1153,443,1031
Université de Poitiers (comUE Université confédérale Léonard de Vinci),https://www.univ-poitiers.fr/,344,788,1278,578,940
Universidad de Cádiz,https://www.uca.es/,345,793,1150,412,1063
Universität Paderborn,https://www.uni-paderborn.de/,346,795,793,1344,1039
Lincoln University,https://www.lincoln.ac.uk/,347,801,1019,543,1111
Universidad de Las Palmas de Gran Canaria,https://www.ulpgc.es/,348,804,949,481,1182
Universitat Oberta de Catalunya,https://www.uoc.edu/,349,815,546,732,1526
University of Central Lancashire,https://www.uclan.ac.uk/,350,816,914,756,1151
(1) Universidade da Coruña,https://www.udc.es/,351,819,1245,511,1039
Lappeenranta University of Technology,https://www.lut.fi/,352,820,1635,773,825
ITMO University,https://itmo.ru/,353,826,1240,2583,686
Universität zu Lubeck,https://www.uni-luebeck.de/,354,827,1845,751,793
Università degli studi della Campania Luigi Vanvitelli,https://www.unicampania.it/,355,828,3984,474,497
Medizinische Universität Graz,https://www.medunigraz.at/,356,828,3134,668,563
University Babes Bolyai,https://www.ubbcluj.ro/,357,837,1266,719,1004
Koç University,https://www.ku.edu.tr/,358,838,1393,480,1018
University of Malta,https://www.um.edu.mt/,359,839,926,699,1203
Universität Augsburg,https://www.uni-augsburg.de/,360,843,940,816,1173
University of Greenwich,https://www.gre.ac.uk/,361,844,923,743,1219
Silesian University of Technology in Gliwice,https://www.polsl.pl/,362,845,1329,785,985
Universidad del País Vasco,https://www.ehu.eus/,363,849,742,5963,311
Université de Brest,https://www.univ-brest.fr/,364,851,1851,608,871
Peoples' Friendship University of Russia,http://www.rudn.ru/,365,854,1158,747,1099
Hasselt University,https://www.uhasselt.be/,366,856,1982,635,833
Université de Paris XII,https://www.u-pec.fr/,367,857,2382,1132,646
University of Thessaly,https://www.uth.gr/,368,859,1837,398,952
Wirtschaftsuniversität Wien,https://www.wu.ac.at/,369,860,767,827,1384
Open University UK,https://www.open.ac.uk/,370,863,200,5963,751
Universidad Miguel Hernández,https://www.umh.es/,371,869,1587,409,1037
Abo Akademi University,https://www.abo.fi/,372,869,1254,696,1095
University of Kent,https://www.kent.ac.uk/,373,874,342,5963,587
Università degli Studi Gabriele d'Annunzio Chieti e Pescara,https://www.unich.it/,374,874,2992,518,676
Medizinische Universität Innsbruck,https://www.i-med.ac.at/,375,878,3641,524,598
Universidad de La Rioja,https://www.unirioja.es/,376,890,455,1179,1722
Rzeszow University of Technology,https://w.prz.edu.pl/,377,901,286,1568,1954
Universidad de Jaén,https://www.ujaen.es/,378,902,1634,513,1060
Université de Chambéry,https://www.univ-smb.fr/,379,902,3121,1650,526
Kingston University London,https://www.kingston.ac.uk/,380,909,1003,866,1294
Ural Federal University,https://urfu.ru/,381,912,1588,870,999
Saint George's University of London,https://www.sgul.ac.uk/,382,915,2954,778,697
Wrocław University of Science and Technology (Politechnika Wrocławska),https://pwr.edu.pl/,383,919,2202,786,877
Université de Rouen (comUE Normandie Université),https://www.univ-rouen.fr/,384,920,1456,767,1116
University of Novi Sad,http://www.uns.ac.rs/,385,922,1383,794,1138
Université Côte d'Azur (Université Côte d'Azur),https://univ-cotedazur.fr/,386,924,3475,2158,463
Libera Università di Bolzano,https://www.unibz.it/,387,927,1539,805,1089
University of Bradford,https://www.bradford.ac.uk/,388,929,1425,620,1188
London Business School,https://www.london.edu/,389,931,408,692,2170
Sofia University St Kliment Ohridski,https://www.uni-sofia.bg/,390,933,1724,943,995
Carl Von Ossietzky Universität Oldenburg,https://uol.de/,391,935,1243,3101,825
Universidad Pablo de Olavide,https://www.upo.es/,392,936,1578,643,1128
Universität Saint Gallen,https://www.unisg.ch/,393,936,944,740,1473
University of Westminster,https://www.westminster.ac.uk/,394,959,849,1122,1496
AgroParisTech Institut des Sciences et Industries du Vivant et de l'Environnement (ENGREF+ENSIA+INA PG) (comUE Université Paris Saclay),http://www2.agroparistech.fr/,395,961,3403,1184,625
University of Stavanger,https://www.uis.no/,396,961,1693,758,1105
