Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Ridley College,https://www.ridley.edu.au/,75,7984,4954,5963,6683
Melbourne Institute of Technology,https://www.mit.edu.au/,76,7991,8340,4913,6683
Adelaide Institute of TAFE,https://www.tafesa.edu.au/,77,8017,4994,5963,6683
American Samoa Community College,http://www.amsamoa.edu/,78,8040,5021,5963,6683
Southern Institute of Technology,https://www.sit.ac.nz/,79,8142,5160,5963,6683
Eastern College Australia,https://www.eastern.edu.au/,80,8394,5494,5963,6683
Australian Film Television and Radio School,https://www.aftrs.edu.au/,81,8598,5807,5963,6683
Canberra Institute of Technology,https://cit.edu.au/,82,8615,5833,5963,6683
Kangan Batman Institute,https://www.kangan.edu.au/,83,8837,6095,5963,6683
Holmesglen Institute,https://holmesglen.edu.au/,84,8891,6172,5963,6683
Australia College of Nursing,https://www.acn.edu.au/,85,8993,6314,5963,6683
Whitireia Polytechnic,https://www.whitireia.ac.nz/,86,9023,6351,5963,6683
Box Hill Institute,https://www.boxhill.edu.au/,87,9060,6392,5963,6683
Avondale College,https://www.avondale.edu.au/,88,9178,6537,5963,6683
National Institute of Dramatic Art,http://www.nida.edu.au/,89,9192,6555,5963,6683
Wellington Institute of Technology,https://www.weltec.ac.nz/,90,9338,6746,5963,6683
Chisholm Institute,https://www.chisholm.edu.au/,91,9412,6834,5963,6683
National University of Samoa,https://nus.edu.ws/,92,9514,12905,5963,5999
The Tax Institute,https://www.taxinstitute.com.au/,93,9525,7015,5963,6683
SAE Institute Qantm College,https://sae.edu.au:443/,94,9573,7062,5963,6683
Toi Ohomai Institute of Technology,https://toiohomai.ac.nz/,95,9658,7164,5963,6683
William Angliss Institute,https://www.angliss.edu.au/,96,9741,7265,5963,6683
Australian Institute of Business,https://www.aib.edu.au/,97,10143,7804,5963,6683
JMC Academy,https://www.jmcacademy.edu.au/,98,10172,7830,5963,6683
South Metropolitan TAFE (Polytechnic West),https://www.southmetrotafe.wa.edu.au/,99,10273,7976,5963,6683
Melbourne Polytechnic,https://www.melbournepolytechnic.edu.au/,100,10377,8106,5963,6683
International College of Management Sydney,https://www.icms.edu.au/,101,10460,8234,5963,6683
(4) ACS Distance Education,https://www.acs.edu.au/,102,10534,8320,5963,6683
Endeavour College of Natural Health,https://www.endeavour.edu.au/,103,10555,8340,5963,6683
NorthTec (Northland Polytechnic),https://www.northtec.ac.nz/,104,10582,8368,5963,6683
Australian College of Applied Psychology,https://www.acap.edu.au/,105,10597,8389,5963,6683
University of Fiji,https://www.unifiji.ac.fj/,106,10639,14412,5963,5999
Media Design School Auckland,https://www.mediadesignschool.com/,107,10643,8446,5963,6683
Taylors College,https://www.taylorscollege.edu.au/,108,10674,8484,5963,6683
Western Institute of Technology at Taranaki,https://www.witt.ac.nz/,109,10709,8528,5963,6683
INSEARCH,https://www.insearch.edu.au/,110,10735,8578,5963,6683
