Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Three Rivers Community College,https://www.trcc.commnet.edu/,3022,11543,9572,5963,6683
Gogebic Community College,https://www.gogebic.edu/,3023,11561,9593,5963,6683
Mesalands Community College,https://www.mesalands.edu/,3024,11561,9593,5963,6683
Bushnell University,https://www.bushnell.edu/,3025,11571,9605,5963,6683
(4) Universidad Tecnológica Latinoamericana en Línea UTEL,https://www.utel.edu.mx/,3026,11577,9614,5963,6683
West Shore Community College,https://www.westshore.edu/,3027,11577,9614,5963,6683
Design Institute of San Diego,https://www.disd.edu/,3028,11577,9614,5963,6683
Patten University,https://www.patten.edu/,3029,11577,9613,5963,6683
Southside Virginia Community College,https://southside.edu/,3030,11596,9642,5963,6683
Culinary Art School,http://www.culinaryartschool.edu.mx/,3031,11596,9642,5963,6683
Dodge City Community College,https://dc3.edu/,3032,11603,9661,5963,6683
Eastern Wyoming College,https://ewc.wy.edu/,3033,11603,9661,5963,6683
Goldfarb School of Nursing at Barnes Jewish College,https://www.barnesjewishcollege.edu/,3034,11603,9661,5963,6683
Barstow College,http://www.barstow.edu/,3035,11603,9653,5963,6683
Connors State College,https://connorsstate.edu/,3036,11603,9661,5963,6683
Hopkinsville Community College,https://hopkinsville.kctcs.edu/,3037,11603,9661,5963,6683
York County Community College,https://www.yccc.edu/,3038,11622,9676,5963,6683
Northwest Iowa Community College,https://nwicc.edu/,3039,11632,9689,5963,6683
Southern Union State Community College,https://www.suscc.edu/,3040,11632,9704,5963,6683
Marion Technical College,https://www.mtc.edu/,3041,11632,9689,5963,6683
Kettering College (of Medical Arts),https://kc.edu/,3042,11658,9721,5963,6683
West Virginia Northern Community College,https://www.wvncc.edu/,3043,11658,9721,5963,6683
Mercersburg Academy,https://www.mercersburg.edu/,3044,11667,9730,5963,6683
Mildred Elley School,https://www.mildred-elley.edu/,3045,11667,9730,5963,6683
Episcopal Theological Seminary of the Southwest,https://ssw.edu/,3046,11675,9737,5963,6683
Atlanta's John Marshall Law School,https://www.johnmarshall.edu/,3047,11675,9746,5963,6683
(4) California Coast University,https://www.calcoast.edu/,3048,11687,9755,5963,6683
Hibbing Community College,https://hibbing.edu/,3049,11711,9783,5963,6683
Saint Mary's Seminary & University,http://www.stmarys.edu/,3050,11721,9795,5963,6683
